group_id,reply_density,unique_users,reply_count,is_coordinated_network
group_67,0.4727423586187328,35,20,0
group_68,0.25066610084080293,40,16,0
group_69,0.6680590492864632,10,45,1
group_70,0.5687548228668917,7,43,1
group_71,0.5237729786135118,21,14,0
group_72,0.5510535456674748,12,41,1
group_73,0.8950994878612105,9,31,1
group_74,0.3371268969530238,35,17,0
group_75,0.4749621012865682,36,24,0
group_76,0.8646439299886405,7,40,1
group_77,0.7051276572852019,10,24,1
group_78,0.4547491922715013,20,21,0
group_79,0.45936959840147223,35,25,0
group_80,0.391479739937962,23,20,0
group_81,0.9455703671078156,13,40,1
group_82,0.18664729002755295,37,21,0
group_83,0.42559053058244756,24,22,0
group_84,0.13305358198626127,17,23,0
group_85,0.12597650791614284,37,26,0
group_86,0.42088296648037554,15,28,0
group_87,0.23368255004054264,38,28,0
group_88,0.3234690794358133,23,11,0
group_89,0.2581597700548365,10,8,0
group_90,0.36027085273821624,17,15,0
group_91,0.42292378657330043,15,8,0
group_92,0.7162004032573156,45,24,0
group_93,0.2029224223898855,42,18,0
group_94,0.15819498394869644,22,13,0
group_95,0.11241802840069097,38,27,0
group_96,0.09779880758927784,48,19,0
group_97,0.4249288373485578,49,26,0
group_98,0.1286217923273263,22,16,0
group_99,0.8435313432222658,12,40,1
group_100,0.8215458671288781,14,41,1
group_101,0.8770581926002181,6,30,1
group_102,0.4715903612655346,27,7,0
group_103,0.3801078304173225,15,11,0
group_104,0.04808984960786118,49,29,0
group_105,0.13432106246488335,37,18,0
group_106,0.2852821508859819,39,28,0
group_107,0.28044956355237793,21,16,0
group_108,0.33084420870466397,25,19,0
group_109,0.1772879764885841,18,25,0
group_110,0.1260340479143084,14,15,0
group_111,0.3650974979312403,12,22,0
group_112,0.846034266520147,14,37,1
group_113,0.13474136680073145,32,6,0
group_114,0.05213299538418136,13,28,0
group_115,0.19696938171428313,10,7,0
group_116,0.8480075748193027,13,41,1
group_117,0.2666504077852513,10,6,0
group_118,0.8177253049356075,8,47,1
group_119,0.10942104389174998,31,5,0
group_120,0.34609888990347876,36,19,0
group_121,0.6218918528223552,18,29,0
group_122,0.04616869282065599,30,15,0
group_123,0.4977066063174068,13,24,0
group_124,0.2791566248809375,17,18,0
group_125,0.4820827233528032,37,14,0
group_126,0.0656999690959819,28,9,0
group_127,0.1545896902966359,31,26,0
group_128,0.16571058588419355,11,14,0
group_129,0.91834938915239,10,25,1
group_130,0.011043937701264417,39,15,0
group_131,0.19370649274960464,28,12,0
group_132,0.6305227826170449,12,40,1
group_133,0.13343273263604624,20,17,0
group_134,0.8141886780815277,6,44,1
group_135,0.8891548873018223,6,48,1
group_136,0.30919797868234,23,26,0
group_137,0.46151519542027253,39,25,0
group_138,0.14053565806723883,46,17,0
group_139,0.09796778667990119,15,25,0
group_140,0.1917892448467623,39,24,0
group_141,0.3061736775740211,44,25,0
group_142,0.5963987373191498,8,39,1
group_143,0.477377666566869,28,16,0
group_144,0.29346579432101494,49,6,0
group_145,0.7404494446411253,5,20,1
group_146,0.15231701721767107,38,28,0
group_147,0.031123273904441466,15,28,0
group_148,0.04951206622382868,48,27,0
group_149,0.21800113229986154,45,29,0
group_150,0.8549528605042367,9,29,1
group_151,0.14340057919650834,28,18,0
group_152,0.23051034169445223,20,18,0
group_153,0.16904139784771147,22,16,0
group_154,0.21683326817798648,22,18,0
group_155,0.16929176544758204,47,10,0
group_156,0.28077599819424687,40,28,0
group_157,0.22359939156351066,32,25,0
group_158,0.14345426429935265,23,12,0
group_159,0.9359775487025855,10,29,1
group_160,0.5704684514901707,13,46,1
group_161,0.3322442777553285,15,29,0
group_162,0.9017697414890378,10,37,1
group_163,0.20454901664466138,24,8,0
group_164,0.4178028409533617,31,9,0
group_165,0.5396837356877002,33,6,0
group_166,0.24888479407318898,32,26,0
group_167,0.09888900456188211,30,13,0
group_168,0.4430305873220036,29,5,0
group_169,0.28217944719406024,18,29,0
group_170,0.6658324808721139,41,22,0
group_171,0.3327485587239822,37,20,0
group_172,0.9030184873785513,9,37,1
group_173,0.26838093596475027,29,13,0
group_174,0.18683203398906767,42,5,0
group_175,0.08082634301618231,37,27,0
group_176,0.21756533843708403,16,20,0
group_177,0.5402611928077169,29,14,0
group_178,0.4211742808403863,41,12,0
group_179,0.2202929754869339,30,8,0
group_180,0.18301604359993082,49,27,0
group_181,0.20439540246937593,44,11,0
group_182,0.22931528518148994,15,6,0
group_183,0.3045397514668986,38,9,0
group_184,0.7043423839020556,5,44,1
group_185,0.3178091680729653,14,29,0
group_186,0.3271777784585827,27,25,0
group_187,0.05911306150540424,32,26,0
group_188,0.33430315647270936,15,20,0
group_189,0.4929132609382225,38,16,0
group_190,0.39197682647410015,28,12,0
group_191,0.07267466062215998,41,5,0
group_192,0.021956288754822067,26,21,0
group_193,0.5229038993132524,35,27,0
group_194,0.5658233682066331,14,14,0
group_195,0.7348350425039225,11,6,0
group_196,0.07612487500919062,20,14,0
group_197,0.3020769206849929,23,23,0
group_198,0.1692168336775584,17,5,0
group_199,0.852642844661336,5,24,1
group_200,0.20195376845892174,12,5,0
group_201,0.7406266817052682,12,38,1
group_202,0.05156111528426016,15,28,0
group_203,0.06374702647937291,16,8,0
group_204,0.3373322043092193,21,26,0
group_205,0.2785765312731168,47,28,0
group_206,0.13740932473198897,13,5,0
group_207,0.43693675324011766,21,13,0
group_208,0.634905188681514,12,30,1
group_209,0.91532820802338,6,32,1
group_210,0.24359120027398676,46,25,0
group_211,0.1058505033179276,38,19,0
group_212,0.23234281610368376,12,14,0
group_213,0.14639833190249416,23,22,0
group_214,0.36934607363046024,13,8,0
group_215,0.3594915895504972,19,13,0
group_216,0.30685897160714315,22,18,0
group_217,0.26999222885746843,15,10,0
group_218,0.2382117782594584,41,6,0
group_219,0.18047792335074156,20,5,0
group_220,0.087266958764763,27,26,0
group_221,0.1569575322796747,23,10,0
group_222,0.34261202383874634,46,9,0
group_223,0.4591045089952633,38,29,0
group_224,0.11374577807107689,25,23,0
group_225,0.8781128143014107,14,28,1
group_226,0.3158369407470461,28,29,0
group_227,0.2471017825993064,23,25,0
group_228,0.4297592856282803,22,16,0
group_229,0.9336809108265076,8,36,1
group_230,0.7477828123393524,14,37,1
group_231,0.49423259884621745,36,26,0
group_232,0.20159321541563027,37,21,0
group_233,0.2343152968723228,29,21,0
group_234,0.866672309279786,10,25,1
group_235,0.2134677063645368,39,29,0
group_236,0.43812410859623685,27,11,0
group_237,0.5465908761912059,15,6,0
group_238,0.2846388596386403,23,24,0
group_239,0.17251987055116122,19,29,0
group_240,0.3586881764747631,35,8,0
group_241,0.31832100145920644,25,26,0
group_242,0.6141021048619308,10,13,0
group_243,0.31122636208566057,44,26,0
group_244,0.2973299902124553,14,17,0
group_245,0.46691336272241074,11,41,1
group_246,0.5050040708327036,46,18,0
group_247,0.3793879720849339,40,15,0
group_248,0.3446433197370657,19,20,0
group_249,0.22584713703276568,36,26,0
group_250,0.8605658753066054,13,21,1
group_251,0.7086122814841008,7,30,1
group_252,0.08579410257047625,27,9,0
group_253,0.8585933114752202,7,46,1
group_254,0.33984607463117167,39,14,0
group_255,0.40874391464673876,30,16,0
group_256,0.8786148313252908,5,30,1
group_257,0.9267311169299849,5,49,1
group_258,0.8676579271891258,9,32,1
group_259,0.1579060472545593,49,17,0
group_260,0.38607514355740785,39,25,0
group_261,0.3202449016408759,43,11,0
group_262,0.30623653769709575,17,21,0
group_263,0.2983418640176956,46,10,0
group_264,0.6867249571826132,13,32,1
group_265,0.4364437175265869,13,17,0
group_266,0.25752498886673364,19,7,0
group_267,0.2282309031559709,33,21,0
group_268,0.36296085994836014,44,21,0
group_269,0.5769464200886637,19,19,0
group_270,0.3525381466587325,11,10,0
group_271,0.20728173763152624,23,14,0
group_272,0.9251151620373558,7,32,1
group_273,0.1326923650545676,36,11,0
group_274,0.5601739646426847,22,7,0
group_275,0.1998112091567108,44,18,0
group_276,0.5206815881380589,13,8,0
group_277,0.767549673031716,12,30,1
group_278,0.3442012379233439,33,18,0
group_279,0.683290408244192,9,25,1
group_280,0.1917909596435723,38,14,0
group_281,0.14677314790479296,35,10,0
group_282,0.7093113617069504,9,25,1
group_283,0.15500312416900505,17,10,0
group_284,0.7227475542839,10,33,1
group_285,0.1758669119258064,13,10,0
group_286,0.47715251249524276,21,27,0
group_287,0.20132766670773308,29,11,0
group_288,0.5742534003381083,7,26,1
group_289,0.2869852887373884,26,9,0
group_290,0.30361949472554856,45,25,0
group_291,0.2040653688973846,11,17,0
group_292,0.32885909003029945,44,8,0
group_293,0.05233963824135965,16,14,0
group_294,0.2296027914407736,46,27,0
group_295,0.30479312366707195,38,14,0
group_296,0.2942772409127703,25,5,0
group_297,0.4226013112086941,45,18,0
group_298,0.8183697177096573,5,40,1
group_299,0.4554815936774587,31,25,0
